coverage,requested_coverage,accepted_n,risk,hallucination_rate_proxy,deferred_error_capture,policy,split,rho_feature
0.20454545454545456,0.2,27,0.14814814814814814,0.14814814814814814,0.9550561797752809,baseline,grouped_prompt,absolute
0.30303030303030304,0.3,40,0.275,0.275,0.8764044943820225,baseline,grouped_prompt,absolute
0.4015151515151515,0.4,53,0.39622641509433965,0.39622641509433965,0.7640449438202247,baseline,grouped_prompt,absolute
0.5,0.5,66,0.43939393939393945,0.43939393939393945,0.6741573033707865,baseline,grouped_prompt,absolute
0.6060606060606061,0.6,80,0.5,0.5,0.550561797752809,baseline,grouped_prompt,absolute
0.7045454545454546,0.7,93,0.5591397849462365,0.5591397849462365,0.4157303370786517,baseline,grouped_prompt,absolute
0.803030303030303,0.8,106,0.5943396226415094,0.5943396226415094,0.29213483146067415,baseline,grouped_prompt,absolute
0.9015151515151515,0.9,119,0.6386554621848739,0.6386554621848739,0.14606741573033707,baseline,grouped_prompt,absolute
1.0,1.0,132,0.6742424242424243,0.6742424242424243,0.0,baseline,grouped_prompt,absolute
0.20454545454545456,0.2,27,0.14814814814814814,0.14814814814814814,0.9550561797752809,+rho,grouped_prompt,absolute
0.30303030303030304,0.3,40,0.19999999999999996,0.19999999999999996,0.9101123595505618,+rho,grouped_prompt,absolute
0.4015151515151515,0.4,53,0.339622641509434,0.339622641509434,0.797752808988764,+rho,grouped_prompt,absolute
0.5,0.5,66,0.3939393939393939,0.3939393939393939,0.7078651685393258,+rho,grouped_prompt,absolute
0.6060606060606061,0.6,80,0.48750000000000004,0.48750000000000004,0.5617977528089888,+rho,grouped_prompt,absolute
0.7045454545454546,0.7,93,0.5376344086021505,0.5376344086021505,0.43820224719101125,+rho,grouped_prompt,absolute
0.803030303030303,0.8,106,0.5943396226415094,0.5943396226415094,0.29213483146067415,+rho,grouped_prompt,absolute
0.9015151515151515,0.9,119,0.6386554621848739,0.6386554621848739,0.14606741573033707,+rho,grouped_prompt,absolute
1.0,1.0,132,0.6742424242424243,0.6742424242424243,0.0,+rho,grouped_prompt,absolute
0.20454545454545456,0.2,27,0.14814814814814814,0.14814814814814814,0.9550561797752809,+shuffled_rho,grouped_prompt,absolute
0.30303030303030304,0.3,40,0.19999999999999996,0.19999999999999996,0.9101123595505618,+shuffled_rho,grouped_prompt,absolute
0.4015151515151515,0.4,53,0.339622641509434,0.339622641509434,0.797752808988764,+shuffled_rho,grouped_prompt,absolute
0.5,0.5,66,0.3939393939393939,0.3939393939393939,0.7078651685393258,+shuffled_rho,grouped_prompt,absolute
0.6060606060606061,0.6,80,0.48750000000000004,0.48750000000000004,0.5617977528089888,+shuffled_rho,grouped_prompt,absolute
0.7045454545454546,0.7,93,0.5376344086021505,0.5376344086021505,0.43820224719101125,+shuffled_rho,grouped_prompt,absolute
0.803030303030303,0.8,106,0.5943396226415094,0.5943396226415094,0.29213483146067415,+shuffled_rho,grouped_prompt,absolute
0.9015151515151515,0.9,119,0.6386554621848739,0.6386554621848739,0.14606741573033707,+shuffled_rho,grouped_prompt,absolute
1.0,1.0,132,0.6742424242424243,0.6742424242424243,0.0,+shuffled_rho,grouped_prompt,absolute
0.20454545454545456,0.2,27,0.14814814814814814,0.14814814814814814,0.9550561797752809,baseline,grouped_prompt,adj
0.30303030303030304,0.3,40,0.275,0.275,0.8764044943820225,baseline,grouped_prompt,adj
